epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,15955.1,1.67823,0.93257,0.9097,0.80638,0.6268,0.71964,0.37799,1.70102,0.99312,0.91325,0.005875,0.005875,0.005875
127,16055.4,1.65595,0.91846,0.90481,0.80555,0.6268,0.71923,0.37789,1.70168,0.99409,0.91313,0.005842,0.005842,0.005842
128,16151.5,1.67437,0.92042,0.90493,0.80656,0.62596,0.71927,0.37822,1.70145,0.99435,0.91303,0.005809,0.005809,0.005809
129,16245.8,1.6485,0.90654,0.9044,0.80482,0.6268,0.7185,0.37805,1.70091,0.99391,0.91299,0.005776,0.005776,0.005776
130,16363.1,1.65661,0.90714,0.90644,0.80465,0.6268,0.71974,0.37816,1.70021,0.99358,0.91271,0.005743,0.005743,0.005743
131,16466.4,1.65782,0.91027,0.90793,0.80177,0.63007,0.71898,0.37854,1.69922,0.99313,0.91273,0.00571,0.00571,0.00571
132,16636.9,1.65641,0.9109,0.90643,0.80536,0.62915,0.72014,0.37864,1.70024,0.99307,0.91279,0.005677,0.005677,0.005677
133,16732.5,1.6677,0.91443,0.90551,0.80396,0.62931,0.72025,0.37896,1.69981,0.99213,0.91267,0.005644,0.005644,0.005644
134,16863.9,1.65774,0.91384,0.90496,0.80201,0.62998,0.7199,0.37915,1.69949,0.99112,0.91268,0.005611,0.005611,0.005611
135,16988.5,1.65382,0.91044,0.90333,0.80799,0.6268,0.71942,0.3793,1.69878,0.98997,0.91246,0.005578,0.005578,0.005578
136,17122.1,1.67739,0.92049,0.90384,0.80739,0.62844,0.72007,0.37944,1.69904,0.99077,0.91248,0.005545,0.005545,0.005545
137,17221.4,1.65181,0.90194,0.9067,0.80589,0.62781,0.72041,0.37994,1.69875,0.99038,0.9127,0.005512,0.005512,0.005512
138,17347.8,1.63931,0.9045,0.90525,0.80753,0.6276,0.72,0.37974,1.69844,0.99002,0.91267,0.005479,0.005479,0.005479
139,17449.1,1.63735,0.90035,0.90529,0.80913,0.62747,0.72145,0.3804,1.69867,0.98961,0.91265,0.005446,0.005446,0.005446
140,17545.7,1.65091,0.90344,0.90358,0.807,0.62831,0.7211,0.38042,1.69765,0.98914,0.91258,0.005413,0.005413,0.005413
141,17680.8,1.65117,0.90911,0.9033,0.80687,0.62948,0.72213,0.38033,1.69795,0.98908,0.9123,0.00538,0.00538,0.00538
142,17803.9,1.64707,0.90814,0.90411,0.80551,0.62898,0.72104,0.38052,1.69763,0.98887,0.91239,0.005347,0.005347,0.005347
143,17903.4,1.63601,0.89413,0.90224,0.80601,0.63049,0.72164,0.38022,1.69671,0.98792,0.91232,0.005314,0.005314,0.005314
144,18001.1,1.62178,0.88848,0.90185,0.80462,0.6312,0.72205,0.38008,1.69584,0.98768,0.91223,0.005281,0.005281,0.005281
145,18099,1.64964,0.90129,0.90174,0.80415,0.63183,0.7205,0.38029,1.69639,0.98668,0.91221,0.005248,0.005248,0.005248
146,18229.5,1.63192,0.89678,0.90182,0.80329,0.63183,0.72122,0.38065,1.69628,0.98688,0.91213,0.005215,0.005215,0.005215
147,18351.8,1.61969,0.89087,0.90133,0.80395,0.63194,0.72163,0.38066,1.69619,0.98669,0.91213,0.005182,0.005182,0.005182
148,18493.5,1.63008,0.88896,0.90294,0.80297,0.63146,0.72108,0.38121,1.6952,0.98651,0.91192,0.005149,0.005149,0.005149
149,18596.1,1.63725,0.8968,0.90089,0.80302,0.63234,0.72152,0.38139,1.69565,0.98659,0.91188,0.005116,0.005116,0.005116
150,18692.5,1.62149,0.88569,0.90008,0.80198,0.6325,0.72156,0.38149,1.69559,0.98575,0.91181,0.005083,0.005083,0.005083
151,18844.9,1.61835,0.88401,0.89933,0.79962,0.63266,0.72186,0.38179,1.69521,0.98616,0.91175,0.00505,0.00505,0.00505
152,18983.1,1.63817,0.88923,0.90076,0.79833,0.63384,0.72172,0.38205,1.69441,0.98473,0.91159,0.005017,0.005017,0.005017
153,19089,1.61508,0.87657,0.89851,0.79673,0.63422,0.72155,0.38211,1.69348,0.98394,0.91157,0.004984,0.004984,0.004984
154,19184,1.60982,0.86945,0.89851,0.79756,0.6342,0.72128,0.38228,1.69283,0.98325,0.91152,0.004951,0.004951,0.004951
155,19299.7,1.60886,0.87345,0.8992,0.79693,0.63384,0.72128,0.38205,1.69221,0.98425,0.91149,0.004918,0.004918,0.004918
156,19399.7,1.59547,0.86892,0.89749,0.79669,0.63405,0.72117,0.38191,1.69224,0.98388,0.91135,0.004885,0.004885,0.004885
157,19496.7,1.61276,0.87806,0.8955,0.79579,0.63512,0.72136,0.38242,1.69297,0.98397,0.91149,0.004852,0.004852,0.004852
158,19593.9,1.61579,0.87693,0.89526,0.79581,0.63652,0.7222,0.3824,1.69248,0.98409,0.91139,0.004819,0.004819,0.004819
159,19724.9,1.58709,0.86069,0.89649,0.79601,0.63668,0.7229,0.38242,1.69176,0.98396,0.91142,0.004786,0.004786,0.004786
160,19863.7,1.60824,0.87562,0.8982,0.7949,0.6362,0.72219,0.38237,1.69206,0.98384,0.91141,0.004753,0.004753,0.004753
161,20046.2,1.60106,0.86502,0.89697,0.79561,0.63636,0.72254,0.38253,1.69082,0.98305,0.9113,0.00472,0.00472,0.00472
162,20141.3,1.59684,0.8696,0.89437,0.79573,0.6362,0.72312,0.38298,1.69171,0.9825,0.91122,0.004687,0.004687,0.004687
163,20282.2,1.61601,0.87297,0.89692,0.79567,0.63702,0.7235,0.38292,1.69173,0.98216,0.91117,0.004654,0.004654,0.004654
164,20414.9,1.61058,0.87532,0.89496,0.79625,0.63568,0.72257,0.38227,1.69131,0.98273,0.91118,0.004621,0.004621,0.004621
165,20551,1.59918,0.85607,0.89508,0.79558,0.63626,0.72341,0.38274,1.69084,0.98199,0.91108,0.004588,0.004588,0.004588
166,20659.9,1.60279,0.86405,0.89439,0.79525,0.63668,0.72315,0.3827,1.69155,0.98189,0.91112,0.004555,0.004555,0.004555
